,Positive distance,Negative distance
0,5.9885173,24.85022
1,4.8127823,19.743162
2,6.08099,12.926878
3,3.9746473,26.860449
4,1.6848989,18.65982
5,4.766831,12.827798
6,6.4117103,11.831399
7,8.482086,14.593622
8,3.777062,14.401981
9,4.8360834,13.912325
10,3.8255308,19.180223
11,4.2844067,16.718613
12,6.4983644,17.665943
13,5.058525,7.368453
14,5.785261,26.531902
15,5.121193,15.2986555
16,4.0977573,15.528482
17,1.474565,18.019178
18,7.024582,21.653824
19,2.7081735,26.422998
20,4.665147,25.147022
21,2.840405,25.461355
22,14.43613,41.49066
23,3.395378,20.228277
24,2.1147895,13.826229
25,6.0858316,21.712769
26,3.985073,19.95
27,2.972713,18.005268
28,3.116769,6.5027
29,3.2700248,25.26168
30,4.056251,15.744904
31,3.6187916,13.133273
32,6.166521,12.611976
33,5.0727224,25.960194
34,4.015901,16.388964
35,4.4891047,23.7312
36,2.6643772,16.54459
37,2.4729297,25.850616
38,5.925411,17.081438
39,7.022709,25.009193
40,3.7000608,21.839973
41,3.4034433,14.939772
42,4.5033426,25.911493
43,7.1672115,22.9131
44,2.369851,21.352894
45,5.201971,16.79201
46,4.6943684,15.17713
47,6.337546,17.735458
48,3.5701685,23.838207
49,5.155303,20.177761
50,4.2811537,17.098328
51,2.95057,12.26709
52,7.3056483,15.243263
53,6.3765755,20.086956
54,5.988206,18.71326
55,5.873064,14.417238
56,2.2666001,15.03845
57,4.260024,22.751709
58,4.0038857,17.313
59,4.268712,12.634384
60,5.793683,16.569
61,4.4220066,23.399815
62,8.527138,24.809725
63,3.7413054,20.065147
64,6.086219,13.042936
65,3.8940358,21.544727
66,6.707586,20.047665
67,5.7805586,12.504438
68,5.573799,27.379128
69,4.8772135,28.537968
70,4.6210465,23.343418
71,4.7485294,14.482369
72,7.091974,16.421516
73,3.5636759,17.093155
74,8.50807,20.516922
75,5.389322,13.145779
76,3.8365068,26.800959
77,5.826043,23.394615
78,4.0779834,8.584922
79,2.9925137,21.93866
80,5.2191086,24.146175
81,4.0803804,14.011864
82,6.7406025,25.737637
83,3.6457677,17.542728
84,3.7906816,18.417877
85,6.4050436,15.370444
86,5.5305347,19.163757
87,3.4048097,22.5579
88,5.4219055,13.604826
89,5.628764,16.794022
90,5.7578106,27.329689
91,3.4033704,27.47447
92,3.0582268,14.623774
93,6.1813226,21.977606
94,5.4915047,27.865677
95,2.1426468,14.559742
96,6.3043656,26.799665
97,3.4854136,17.84174
98,4.7374616,18.562016
99,5.1387115,25.521877
100,3.6002865,19.132744
101,6.1704464,29.41594
102,5.870699,13.134571
103,3.828989,15.5445385
